,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ich hole jemanden, der helfen kann.",بدي جيب حدا يساعدك,bdi ajeeb hada yesa'adak,I'm getting somebody who can help. ,Je vais chercher quelqu'un qui peut aider.,"Grem po nekoga, ki lahko pomaga.",Ik haal iemand die kan helpen.,,ክሕግዘኒ ዚክእል ሰብ ረኪበ ኣለኩ፥,Kihigizeni zikiel seb rekibe aleku.,,,,"ami ekjonke khunje anchhi, je apnake shahajjo korte parbe",,"
",,Po kërkoj dikë që mund t'iu ndihmojë,Pozvat ću nekoga tko može pomoći. / Pozvaću nekoga ko može da pomogne.,Ќе поканам некој кој може да помогне. (Kje pokanam nekoj koj mozhe da pomogne.),,,Porto qualcuno che puo' aiutare.,,Shte vikam niakoi da vi pomogne. / Ще викам някой да ви помогне. ,,S: Jag hämtar någon som kan hjälpa till. N: Jeg henter noen som kan hjelpe. ,"Haen jonkun, joka voi auttaa teitä.",,,Yardım edebilecek birini bulacağım.,Voy a buscar a alguien que pueda ayudar,"Hívok valakit, aki tud segíteni.",Vou procurar/buscar/trazer alguém para o ajudar.,Tha fèro kàpion pu borì na voithìsi,Θα φέρω κάποιον που μπορεί να βοηθήσει,Aduc pe cineva care poate să ajute.,"Rasiu, kas gali padėti",Maghahanap po ako ng puwedeng tumulong sa inyo.,,Poproszę kogoś o pomoc.,
Bitte warten Sie hier.,استنوا لو سمحتوا ,Esstanou Laou Samahtou / Alraga´a  Alintidar Lau Samahtom,Please wait here. ,Attendez ici s'il vous plaît.,"Prosim, počakajte tu",Hier wachten a.u.b.,,ብክብረትካ ኣብዚ ተጸበይ,B'kbretka abzi tetsebe,,Yahan par aap intizar karein یہاں بر  اپ  آنتظار کریں,দয়া করে এখানে অপেক্ষা করুন ,doya kore ekhane opekkha korun, Lotfan inja montazer bashid                                  لطفآ اینخا منتظر بآشند.,"Lotfan inja montazer bosh
لطفان اینخا منتظر بآشند.",,Të lutem prit këtu (ju lutem prisni këtu),"Molim Vas, pričekajte ovdje. / Molim Vas, sačekajte ovde.","Ве молам, почекајте тука (Ve molam, pochekajte tuka)","Пожалуйста, ждите здесь.",,Aspetta qui per favore.,,"Molia, izchakaite tuk. / Моля, изчакайте тук. ",,S: Vänligen vänta här N: Vennligst vent her,Olkaa hyvät ja odottakaa tässä.,,,"Lütfen, burada bekleyin.","Por favor, espere aquí","Kérem, itt várjon","Espere aqui, por favor",Parakalò perimènete edò,Παρακαλώ περιμένετε εδώ,Așteptați aici,Prašau palaukite čia,Pakihintay lang po.,,Proszę tutaj poczekać,
Ich komme zurück.,راجع بعد شوي ,Rage'ae Ba'aed Shouai / saouf a´aoud laheqan,I'll come back.,Je vais revenir.,Pridem nazaj,Ik kom terug. ,,ክምለስ እየ,Kimiles eye,,Mein wapis aounga میں واپس آؤنگا,আমি ফিরে আসছি ,ami fire ashchhi,Man bar migardam               من بر میگردم,"Pas miyaayam.
پس می ایم.",,Do kthehem / do vi prap,Vratit ću se / Vratiću se,Ќе се вратам (Kje se vratam),я вернусь,,Tornero'.,,Shte se vurna / Ще се върна,,S: Jag kommer tillbaka N: Jeg kommer tilbake,Tulen takaisin.,,,Döneceğim.,Volveré,Visszajövök,Volto já / Já volto,Epistrèfo,Επιστρέφω,Voi reveni,Aš grįšiu,Babalik po ako,,Przyjdę z powrotem,
Ich will Ihnen helfen.,بدي اساعدك ,bdi asa'adak,I want to help you.,Je veux vous aider.,Želim vam pomagati,Ik wil je helpen.,,ኣነ ክሕግዘካ ደልየ፥,ane Kihigizeka delye.,,,আমি আপনাকে সাহায্য করতে চাইছি ,ami apnake shahjjo korte chaichhi ,,من می خواهم به شما کمک کنم,,Dëshiroj t'iu ndihmoj,Želim Vam pomoći.,Сакам да Ви помогнам. (Sakam da Vi pomognam.),,,Voglio aiutarti.,,Iskam da vi pomogna. / Искам да ви помогна.,,S: Jag vill hjälpa dig. N: Jeg ønsker å hjelpe deg. ,Haluan auttaa teitä.,,,Sana yardım etmek istiyorum.,Quiero ayudarlo/a,Segíteni akarok.,Quero ajudá-lo(a).,Thèlo na sas voithiso,θέλω να σας βοηθήσω,Vreau să vă ajut.,Aš noriu padėti,Tutulungan ko po kayo.,,Chcę Ci pomóc.,
Sie können mir vertrauen.,بتقدر تثق في ,bteqdar tekhiq feye,You can trust me.,Vous pouvez me faire confiance.,Lahko mi zaupate,Je kunt mij vertrouwen.,,ንዓይ  እመነኒ፥,Ni'ay emeneni.,,,আপনি আমাকে বিশ্বাস করতে পারেন,apni amake bishshash korte paren,,شما می توانید به من اعتماد  کنید,,Ju mund të keni besim tek unë,Možete imati povjerenja u mene. / Možete da mi verujete.,Можете да ми верувате. (Mozhete da mi veruvate),,,Potete fidarvi di me.,,Mozhete da mi viarvate. / Можете да ми вярвате.,,S: Du kan lita på mig. N: Du kan stole på meg.,Voitte luottaa minuun.,,,Bana güvenebilirsin.,Puede confiar en mí.,Megbízhat bennem.,Pode confiar em mim.,Borìte na me ebisteftìte,Μπορείτε να με εμπιστευτείτε,Puteți să aveți încredere în mine.,Galite manimi pasitikėti,Mapagkakatiwalaan po ninyo ako,,Możesz mi zaufać.,
"Ich warte hier mit Ihnen, keine Sorge.",لا تقلق، راح استنا معك,"la taqlaq, rah astana ma'ak","I will wait here with you, don't worry.","Je vais attendre ici avec vous, pas de soucis. ","Tu počakam z vami, brez skrbi.",Ik wacht hier met je. Maak je geen zorgen.,,ኣብዚ ምሳካ ክጽበ አየ። ቡዙሕ ኣይሸገር፥,Abzi misaka kitsibey eye. Buzuh aytisheger.,,,"আমি এখানে আপনার সঙ্গে অপেক্ষা করছি, কোনো দুশ্চিন্তা করবেন না ","ami ekhane apnar shonge opekkha korchhi, chinta korben na ",,من اینجا با شما صبر می کنم ,,"Unë do pres këtu me ju, mos u merzisni","Čekat ću ovdje s Vama, ne brinite. / Čekaću ovde s Vama, ne brinite.","Ќе чекам овде со вас, не грижете се. (Kje chekam ovde so vas, ne grizhete se).",,,"Aspettero' qui con te, non ti preoccupare.",,"Shte chakam tuk, ne se pritesniavaite. / Ще чакам тук, не се притеснявайте.",,"S: Jag väntar här med dig, oroa dig inte. N: Jeg venter her med deg, ta det rolig. ","Odotan tässä kanssanne, älkää huolehtiko.",,,"Ben seninle bekleyeceğim, merak etme.",Esperaré aquí con usted. No se preocupe.,"Ne aggódjon, várok itt magával.","Eu espero aqui consigo, não se preocupe.","Tha perimeno edo mazi sas, kanèna pròvlima.","Θα περιμένω εδώ μαζί σας, κανένα πρόβλημα.","Aştept aici cu dumnevoastră, nici o grijă.","Aš jūsų lauksiu čia, nebijokit","Sasamahan ko po kayong maghintay, huwag po kayong mag-alala",,"Nie martw się, poczekam tu z tobą.",
Jemand wird kommen und Ihnen helfen. ,راح يجي حدا يساعدك ,rah yegi hada yesa'adak,Somebody will come and help you.,Quelqu'un va venir vous aider.,Nekdo bo prišel in vam pomagal.,Er komt iemand om je te helpen.,,ካልእ ሰብ ክመጸካ ክሕግዘካ እዩ፥,Kalie seb kmetseka kihigizeka eyu.,,,কেউ একজন এসে আপনাকে সাহায্য করবে ,keu ekjon eshe apnake shahajjo korbe,,کسی می آید وبه شما کمک می کند,,Do vijë dikush t'iu ndihmojë,Netko će doći i pomoći Vam.,Некој ќе дојде и ќе Ви помогне. (Nekoj kje dojde i kje Vi pomogne),,,Qualcuno verra' ad aiutarti.,,Niako shte doidе da vi pomogne. / Някой ще дойде да ви помогне. ,,S: Någon kommer för att hjälpa dig. N: Noen kommer for å hjelpe deg. ,Joku tulee ja auttaa teitä.,,,Biri gelip sana yardım edecek,Alguien vendrá para ayudarlo/a.,A segítség úton van.,Alguém virá para ajudá-lo.,Kapios tha erthi na sas voithisi. ,Κάποιος θα έρθει να σας βοηθήσει.,Va veni cineva să vă ajute.,Kas nors ateis jums padėti,May darating po at tutulong sa iyo,,Ktoś przyjdzie ci pomóc.,
Diese Person kann Ihnen helfen.,هادا بقدر يساعدك,hada beqdar yesa'dak,This person can help you.,Cette personne peut vous aider,Ta oseba vam lahko pomaga.,Deze persoon kan je helpen.,,እዚ ሰብ ክሕግዘካ እዩ፥,Ezi Seb kihigizega eyu.,,,ইনি আপনাকে সাহায্য করতে পারবেন ,ini apnake shahajjo korte parben,,این نفر می تواند به شما کمک کند,,Ky person mund t'iu ndihmojë,Ova osoba Vam (ti) može pomoći.,Ова лице може да Ви (ти) помогне. (Ova litse mozhe da Vi (ti) pomogne).,,,Questa persona puo' aiutarti.,,Tozi chovek mozhe da vi pomogne / Този човек може да ви помогне. ,,S: Den här personen kan hjälpa dig. N: Denne personen kan hjelpe deg. ,Tämä henkilö voi auttaa teitä.,,,Bu kişi sana yardım edebilir.,Esta persona puede ayudarlo/a.,Ő tud segíteni önnek.,Esta pessoa pode ajudar.,Aftós [m]/Aftí [f] bori na sas voithisi.,Αυτός [m]/Αυτή [f] μπορεί να σας βοηθήσει.,Această persoană poate să vă/te ajute.,Šis žmogus jums gali padėti,Matutulungan po niya kayo,,Ta osoba może ci pomóc,
Wir müssen nur kurz warten.,احنا لازم نستنا شوي,ehna lazim nestana schuai,We just have to wait a little. ,Nous devons attendre un petit peu,Moramo le malce počakati,We moeten alleen even wachten.,,ቑሩብ ክንጽበ ኣለና፥,Kurub kintsibe alena.,,,আমাদের একটু অপেক্ষা করতে হবে ,amader ektu opekkha korte hobe,,لطفان چند ثانیه صبر کنید,,Ne duhet vetëm të presim pak.,Moramo samo malo pričekati.,Мораме само малку да причекаме. (Morame samo malku da prichekame),,,Dobbiamo solo aspettare un po'.,,Triabva da izchakame malko. / Трябва да изчакаме малко.,,S: Vi måste bara vänta lite. N: Vi må bare vente litt. ,Meidän täytyy odottaa hetken aikaa.,,,Sadece biraz beklememiz lazım.,Solamente tenemos que esperar un poco.,Csak egy kicsit kell várnunk.,Só temos de esperar um pouco.,Apla prepi na perimenume ligo.,Απλά πρέπει να περιμένουμε λίγο.,Trebuie doar să aşteptăm puțin.,Mums reikia truputį palaukti,Kailangan po nating maghintay ng saglit lang,,Musimy chwilę zaczekać.,
Sie sind sehr mutig.,انت كتير شجاع,inta kteer schoga'a,You're very brave.,Vous êtes très courageux / courageuse.,Zelo ste pogumni.,Je bent erg dapper.,,ብጣዕሚ ንፉዕ ኢካ፥,Bitaemi Nifue eka.,,,আপনি অনেক সাহসী ,apnar onek shahosh,,شما  بسیار شجاع هستند,,Ju jeni shumë kurajoz/e.,Vrlo ste hrabri.,Многу сте храбри. (Mnogu ste hrabri),,,Sei molto coraggioso.,,Mnogo ste hrabri  / Много сте храбри.,,S: Du är väldigt modig. N: Du er veldig modig,Olette hyvin rohkea.,,,Çok cesursun.,Es usted muy valiente.,Nagyon bátor vagy.,É muito corajoso [m] / corajosa [f].,Ékhete polí tháros,Έχετε πολύ θάρρος,Sunteți foarte curajos.,Jūs labai drąsus (sing.) / Jūs labai drąsūs (plur.),Napakatapang po ninyo,,Jesteś bardzo dzielny.,
Sie sind super.,انت عزيم ,inta a'azem,You're great.,Vous êtes super.,Super ste.,Je bent geweldig.,,ኣዚኻ ክኢላ ኢኻ፥,Azicha kiela icha.,,,আপনি অসাধারণ ,apni oshadharon!,,شما عالی هستند,,Ju jeni i/e mrekullushëm/me.,Super ste.,Супер сте. (Super ste).,,,Sei forte!,,Otlichni ste! / Отлични сте!,,S: Du är fantastisk. N: Du er fantastisk.,Olette mahtava.,,,Çok iyisin/süpersin.,Es usted genial.,Szuper vagy.,É fantástico(a).,Iste telios / telia.,Είστε τέλειος / τέλεια.,Eşti grozav,Jūs šaunus (sing.) / Jūs šaunūs (plur.),Magaling po kayo,,Jesteś wspaniały / wspaniała (f).,
